TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2024-09-13,2024-09-13T07:00:00,2024-09-13T07:30:00,3594.31,980,5097,402.376,120.313
2024-09-13,2024-09-13T07:30:00,2024-09-13T08:00:00,3577.06,980,5164,508.667,98.273
2024-09-13,2024-09-13T08:00:00,2024-09-13T08:30:00,3567.46,980,5179,630.323,1.217
2024-09-13,2024-09-13T08:30:00,2024-09-13T09:00:00,3515.33,980,5259,727.244,36.426
2024-09-13,2024-09-13T09:00:00,2024-09-13T09:30:00,3508.66,980,5193,812.331,-107.992
2024-09-13,2024-09-13T09:30:00,2024-09-13T10:00:00,3268.34,980,5142,887.738,5.922
2024-09-13,2024-09-13T10:00:00,2024-09-13T10:30:00,3218.45,980,5123,947.579,-23.029
2024-09-13,2024-09-13T10:30:00,2024-09-13T11:00:00,3158.1,980,5103,1028.599,-63.699
2024-09-13,2024-09-13T11:00:00,2024-09-13T11:30:00,3139.3,980,5058,1096.892,-158.192
2024-09-13,2024-09-13T11:30:00,2024-09-13T12:00:00,3105.04,980,5021,1175.717,-239.756
2024-09-13,2024-09-13T12:00:00,2024-09-13T12:30:00,3113.15,980,4993,1242.173,-342.323
2024-09-13,2024-09-13T12:30:00,2024-09-13T13:00:00,2967.16,980,4938,1329.452,-338.611
2024-09-13,2024-09-13T13:00:00,2024-09-13T13:30:00,2853.73,955,4878,1399.687,-330.417
2024-09-13,2024-09-13T13:30:00,2024-09-13T14:00:00,2654.45,969,4850,1464.955,-238.405
2024-09-13,2024-09-13T14:00:00,2024-09-13T14:30:00,2666.55,821,4821,1512.415,-178.965
2024-09-13,2024-09-13T14:30:00,2024-09-13T15:00:00,2667.7,762,4844,1575.591,-161.291
2024-09-13,2024-09-13T15:00:00,2024-09-13T15:30:00,2676.65,735,4936,1627.833,-103.483
2024-09-13,2024-09-13T15:30:00,2024-09-13T16:00:00,2679.73,714,5035,1663.881,-22.61
2024-09-13,2024-09-13T16:00:00,2024-09-13T16:30:00,2680.67,712,5140,1714.212,33.118
2024-09-13,2024-09-13T16:30:00,2024-09-13T17:00:00,2651.52,662,5226,1769.569,142.911
2024-09-13,2024-09-13T17:00:00,2024-09-13T17:30:00,2661.32,583,5212,1822.236,145.444
2024-09-13,2024-09-13T17:30:00,2024-09-13T18:00:00,2634.42,495,5178,1862.013,186.568
2024-09-13,2024-09-13T18:00:00,2024-09-13T18:30:00,2636.32,389,5112,1907.887,178.793
2024-09-13,2024-09-13T18:30:00,2024-09-13T19:00:00,2639.47,296,5049,1971.308,142.223
2024-09-13,2024-09-13T19:00:00,2024-09-13T19:30:00,2641.77,204,5033,2038.958,148.272
2024-09-13,2024-09-13T19:30:00,2024-09-13T20:00:00,2617.27,113,5126,2110.512,285.218
2024-09-13,2024-09-13T20:00:00,2024-09-13T20:30:00,2607.62,263,5062,2182.126,9.254
2024-09-13,2024-09-13T20:30:00,2024-09-13T21:00:00,2178.29,413,4857,2262.891,2.819
2024-09-13,2024-09-13T21:00:00,2024-09-13T21:30:00,2082.51,440,4631,2340.274,-231.784
2024-09-13,2024-09-13T21:30:00,2024-09-13T22:00:00,1486.32,422,4417,2384.064,124.616
