ROW,TradeDate,StartTime,EndTime,NetImbalanceVolume,ImbalancePrice,ASPPriceUsage,TotalUnitAvailability,DemandControlVolume,PMEA,QPAR,AdministeredScarcityPrice,MarketBackupPrice,ShortTermReserveQuantity,OperatingReserveRequirement
1,2024-08-31,2024-08-31T00:00:00,2024-08-31T00:05:00,-12.505,89.33,N,7325.443,0,79.94,10,-1000,117.13,4224.482,438
1,2024-08-31,2024-08-31T01:00:00,2024-08-31T01:05:00,-19.851,87.46,N,7538.292,0,35.09,10,-1000,117.5,4333.905,438
1,2024-08-31,2024-08-31T02:00:00,2024-08-31T02:05:00,-17.429,18,N,7505.879,0,18,10,-1000,111.01,4218.059,438
1,2024-08-31,2024-08-31T03:00:00,2024-08-31T03:05:00,-30.331,18,N,7552.353,0,18,10,-1000,106.41,4559.44,438
1,2024-08-31,2024-08-31T04:00:00,2024-08-31T04:05:00,-29.455,18,N,7599.719,0,18,10,-1000,106.4,4483.663,451.657
1,2024-08-31,2024-08-31T05:00:00,2024-08-31T05:05:00,-38.262,18,N,7681.201,0,18,10,-1000,115.39,4258.435,390
1,2024-08-31,2024-08-31T06:00:00,2024-08-31T06:05:00,-37.225,35.19,N,7713.614,0,18,10,-1000,123.64,4260.304,453.531
1,2024-08-31,2024-08-31T07:00:00,2024-08-31T07:05:00,-18.638,87.51,N,7766.563,0,79.94,10,-1000,157.37,4144.459,503.964
1,2024-08-31,2024-08-31T08:00:00,2024-08-31T08:05:00,9.053,158.57,N,7727.663,0,210.95,10,-1000,157.86,3641.196,503.964
1,2024-08-31,2024-08-31T09:00:00,2024-08-31T09:05:00,16.319,161.74,N,7850.638,0,230.86,10,-1000,147.49,3563.238,503.964
1,2024-08-31,2024-08-31T10:00:00,2024-08-31T10:05:00,8.142,126.45,N,7918.325,0,18577,10,-1000,137,3731.275,503.964
1,2024-08-31,2024-08-31T11:00:00,2024-08-31T11:05:00,-3.414,84.25,N,8170.315,0,66.48,10,-1000,95.33,4036.294,503.964
1,2024-08-31,2024-08-31T12:00:00,2024-08-31T12:05:00,4.45,230,N,8241.929,0,230,10,-1000,90.25,4563.117,503.964
1,2024-08-31,2024-08-31T13:00:00,2024-08-31T13:05:00,-16.068,76.06,N,8563.323,0,34.36,10,-1000,87.04,4703.048,503.964
1,2024-08-31,2024-08-31T14:00:00,2024-08-31T14:05:00,-15.764,41.97,N,8612.889,0,-1000,10,-1000,83.75,4862.923,503.964
1,2024-08-31,2024-08-31T15:00:00,2024-08-31T15:05:00,-35.422,79.67,N,8475.273,0,79.67,10,-1000,87.52,4645.81,420.656
1,2024-08-31,2024-08-31T16:00:00,2024-08-31T16:05:00,-31.216,76.9,N,8305.857,0,66.48,10,-1000,123.29,4116.395,416.05
1,2024-08-31,2024-08-31T17:00:00,2024-08-31T17:05:00,-19.791,54.2,N,8037.688,0,21,10,-1000,143.87,3545.305,423
1,2024-08-31,2024-08-31T18:00:00,2024-08-31T18:05:00,-11.113,84.75,N,7818.348,0,79.18,10,-1000,144.29,3087.281,474.12
1,2024-08-31,2024-08-31T19:00:00,2024-08-31T19:05:00,12.918,158.53,N,7910.854,0,230.86,10,-1000,132.06,2986.782,503.964
1,2024-08-31,2024-08-31T20:00:00,2024-08-31T20:05:00,17.289,159.76,N,8100.17,0,230.86,10,-1000,116.16,3317.606,445
1,2024-08-31,2024-08-31T21:00:00,2024-08-31T21:05:00,5.774,152.12,N,8307.073,0,18577,10,-1000,102.19,3273.75,421.7
1,2024-09-01,2024-08-31T22:00:00,2024-08-31T22:05:00,15.332,156.72,N,8261.62,0,158.41,10,-1000,126.96,3673.339,413.2
1,2024-09-01,2024-08-31T23:00:00,2024-08-31T23:05:00,32.182,153.48,N,8131.595,0,153.6,10,-1000,100.97,4324.194,484.393
1,2024-08-31,2024-08-30T22:00:00,2024-08-30T22:05:00,-14.44,88.33,N,7371.91,0,79.94,10,-1000,145.42,3993.882,503.964
1,2024-08-31,2024-08-30T23:00:00,2024-08-30T23:05:00,-16.638,90.74,N,7324.43,0,-1000,10,-1000,124.9,3944.435,503.964
